en,ko
a,ㅏ
ability,능력
able,할 수 있는
about,~에 대한
above,~ 위에
accept,수용하다
according,~에 따라
account,계정
across,가로질러
act,행동
action,행동
activity,활동
actually,실제로
add,추가하다
address,주소
administration,관리
admit,인정하다
adult,성인
affect,영향을 미치다
after,~ 후에
again,다시
against,~에 맞서
age,나이
agency,대행사
agent,대리인
ago,~ 전에
agree,동의하다
agreement,합의
ahead,앞으로
air,공기
all,모두
allow,허용하다
almost,거의
alone,홀로
along,~을 따라
already,이미
also,또한
although,하지만
always,언제나
American,미국 사람
among,~ 중에
amount,양
analysis,분석
and,그리고
animal,동물
another,또 다른
answer,답변
any,어느
anyone,누구나
anything,아무것
appear,나타나다
apply,적용하다
approach,접근하다
area,영역
argue,다투다
arm,팔
around,약
arrive,도착하다
art,미술
article,기사
artist,아티스트
as,~처럼
ask,묻다
assume,추정하다
at,~에
attack,공격
attention,주목
attorney,변호사
audience,청중
author,작가
authority,권한
available,사용 가능
avoid,피하다
away,떨어져 있는
baby,아기
back,뒤쪽에
bad,나쁜
bag,가방
ball,공
bank,은행
bar,술집
base,베이스
be,BE
beat,이기다
beautiful,아름다운
because,왜냐하면
become,~이 되다
bed,침대
before,~ 전에
begin,시작하다
behavior,행동
behind,뒤에
believe,믿다
benefit,혜택
best,최상의
better,더 나은
between,~ 사이
beyond,그 너머에
big,큰
bill,청구서
billion,10억
bit,조금
black,검은색
blood,피
blue,파란색
board,판자
body,몸
book,책
born,태어나다
both,둘 다
box,상자
boy,소년
break,부서지다
bring,가져오다
brother,형제
budget,예산
build,짓다
building,건물
business,사업
but,하지만
buy,구입하다
by,~에 의해
call,부르다
camera,카메라
campaign,운동
can,~할 수 있다
cancer,암
candidate,후보자
capital,수도
car,자동차
card,카드
care,케어
career,직업
carry,나르다
case,사례
catch,잡다
cause,원인
cell,셀
center,센터
central,본부
century,세기
certain,확실한
certainly,틀림없이
chair,의자
challenge,도전
chance,가능성
change,변화
character,성격
charge,요금
check,확인하다
child,어린이
choice,선택
choose,선택하다
church,교회
citizen,시민
city,도시
civil,예의 바른
claim,주장하다
class,수업
clear,분명한
clearly,분명히
close,닫다
coach,코치
cold,추운
collection,수집
college,대학
color,색상
come,오다
commercial,광고
common,흔한
community,지역 사회
company,회사
compare,비교하다
computer,컴퓨터
concern,우려
condition,상태
conference,회의
Congress,회의
consider,고려하다
consumer,소비자
contain,포함하다
continue,계속하다
control,제어
cost,비용
could,~할 수 있었다
country,국가
couple,커플
course,강의
court,법원
cover,씌우다
create,만들다
crime,범죄
cultural,문화적
culture,문화
cup,컵
current,현재의
customer,고객
cut,자르다
dark,어두운
data,데이터
daughter,딸
day,낮
dead,죽은
deal,거래
death,죽음
debate,토론
decade,10년
decide,결정하다
decision,결정
deep,깊은
defense,방어
degree,도
Democrat,민주당
democratic,민주적인
describe,설명하다
design,설계
despite,~에도 불구하고
detail,세부 사항
determine,결정하다
develop,개발하다
development,개발
die,주사위
difference,차이점
different,다른
difficult,어려운
dinner,저녁
direction,방향
director,감독
discover,발견하다
discuss,논의하다
discussion,논의
disease,질병
do,하다
doctor,의사
dog,개
door,문
down,아래에
draw,그리다
dream,꿈
drive,운전하다
drop,떨어지다
drug,의약품
during,~ 동안
each,각
early,일찍
east,동쪽
easy,쉬운
eat,먹다
economic,간결한
economy,경제
edge,가장자리
education,교육
effect,효과
effort,노력
eight,여덟
either,어느 하나
election,선거
else,또 다른
employee,직원
end,끝
energy,에너지
enjoy,즐기다
enough,충분한
enter,입력하다
entire,전체
environment,환경
environmental,환경
especially,특히
establish,설립하다
even,심지어
evening,저녁
event,이벤트
ever,항상
every,모든
everybody,여러분
everyone,모든 사람
everything,모든 것
evidence,증거
exactly,정확히
example,예
executive,경영진
exist,존재하다
expect,예상하다
experience,경험
expert,전문가
explain,설명하다
eye,눈
face,얼굴
fact,사실
factor,요인
fail,실패하다
fall,떨어지다
family,가족
far,멀리
fast,빠른
father,아버지
fear,두려움
federal,연방
feel,느끼다
feeling,감정
few,약간의
field,필드
fight,싸움
figure,수치
fill,채우다
film,영화
final,결정적인
finally,마지막으로
financial,재정적인
find,찾다
fine,괜찮은
finger,손가락
finish,마치다
fire,불
firm,단단한
first,첫 번째
fish,물고기
five,다섯
floor,바닥
fly,파리
focus,집중하다
follow,따르다
food,음식
foot,발
for,~을 위한
force,힘
foreign,외국의
forget,잊다
form,형태
former,이전의
forward,앞으로
four,네
free,무료
friend,친구
from,~에서
front,앞쪽
full,가득한
fund,축적
future,미래
game,게임
garden,정원
gas,가스
general,일반적인
generation,세대
get,얻다
girl,소녀
give,주다
glass,유리
go,가다
goal,목표
good,좋은
government,정부
great,엄청난
green,녹색
ground,지면
group,그룹
grow,자라다
growth,성장
guess,추측하다
gun,총
guy,남자
hair,머리카락
half,반
hand,손
hang,걸다
happen,일어나다
happy,행복하다
hard,딱딱한
have,가지다
he,그
head,머리
health,건강
hear,듣다
heart,마음
heat,열
heavy,무거운
help,돕다
her,그녀의
here,여기
herself,그녀 자신
high,높은
him,그를
himself,그 자신
his,그의
history,역사
hit,때리다
hold,잡고 있다
home,집
hope,희망
hospital,병원
hot,더운
hotel,호텔
hour,시간
house,집
how,어떻게
however,하지만
huge,거대한
human,인간
hundred,백
husband,남편
I,나
idea,아이디어
identify,식별하다
if,만약에
image,영상
imagine,상상하다
impact,영향
important,중요한
improve,개선하다
in,~에
include,포함하다
including,포함
increase,증가하다
indeed,물론
indicate,나타내다
individual,개인
industry,산업
information,정보
inside,내부에
instead,대신에
institution,기관
interest,관심
interesting,흥미로운
international,국제적인
interview,회견
into,~ 안으로
investment,투자
involve,관련시키다
issue,문제
it,그것
item,안건
its,그것은
itself,그 자체
job,직업
join,가입하다
just,단지
keep,유지하다
key,열쇠
kid,어린이
kill,죽이다
kind,친절한
kitchen,주방
know,알다 
knowledge,지식
land,땅
language,언어
large,크기가 큰
last,마지막
late,늦은
later,나중에
laugh,웃다
law,법
lawyer,변호사
lay,놓다
lead,선두
leader,지도자
learn,배우다
least,최소
leave,떠나다
left,왼쪽
leg,다리
legal,합법적인
less,더 적은
let,허락하다
letter,편지
level,수준
lie,거짓말하다
life,삶
light,빛
like,좋다
likely,~할 것 같은
line,선
list,목록
listen,듣다
little,작은
live,살다
local,현지의
long,긴
look,바라보다
lose,잃다
loss,손실
lot,많은
love,사랑
low,낮은
machine,기계
magazine,잡지
main,기본
maintain,유지하다
major,주요한
majority,다수
make,만들다
man,남성
manage,관리하다
management,관리
manager,관리자
many,많은
market,시장
marriage,결혼
material,재료
matter,문제
may,5월
maybe,아마도
me,나
mean,평균
measure,측정하다
media,미디어
medical,의료
meet,만나다
meeting,회의
member,회원
memory,메모리
mention,언급하다
message,메시지
method,방법
middle,가운데
might,~할 것 같다
military,군대
million,백만
mind,정신
minute,분
miss,놓치다
mission,사명
model,모델
modern,현대의
moment,순간
money,돈
month,월
more,더
morning,아침
most,최대
mother,어머니
mouth,입
move,이동하다
movement,움직임
movie,영화
Mr,씨
Mrs,부인
much,많이
music,음악
must,~ 해야 하다
my,나의
myself,내 자신
name,이름
nation,국가
national,국가의
natural,자연스러운
nature,자연
near,가까운
nearly,거의
necessary,필요한
need,필요
network,회로망
never,절대
new,새로운
news,소식
newspaper,신문
next,다음
nice,멋진
night,밤
no,아니요
none,없음
nor,...도 아니다
north,북쪽
not,~ 아니다
note,메모
nothing,아무것도 아님
notice,알아채다
now,지금
n't,안 돼
number,숫자
occur,발생하다
of,~의
off,끄다
offer,권하다
office,사무실
officer,장교
official,공식적인
often,자주
oh,오
oil,기름
ok,좋아요
old,오래된
on,~에
once,한 번
one,하나
only,오직
onto,위에
open,열려 있는
operation,작업
opportunity,기회
option,옵션
or,또는
order,주문하다
organization,조직
other,다른
others,다른 사람
our,우리의
out,밖으로
outside,밖의
over,~ 위에
own,소유하다
owner,소유자
page,페이지
pain,통증
painting,그림
paper,종이
parent,부모의
part,부분
participant,참가자
particular,특정한
particularly,특히
partner,파트너
party,파티
pass,통과하다
past,과거
patient,인내심 있는
pattern,무늬
pay,지불하다
peace,평화
people,사람들
per,당
perform,공연하다
performance,성능
perhaps,아마도
period,기간
person,사람
personal,개인의
phone,핸드폰
physical,물리적
pick,선택하다
picture,그림
piece,조각
place,장소
plan,계획
plant,식물
play,놀다
player,플레이어
PM,오후
point,가리키다
police,경찰
policy,정책
political,정치적인
politics,정치
poor,가난한
popular,인기 있는
population,인구
position,위치
positive,긍정적인
possible,가능한
power,힘
practice,관행
prepare,준비하다
present,현재의
president,대통령
pressure,압력
pretty,예쁜
prevent,예방하다
price,가격
private,사적인
probably,아마
problem,문제
process,프로세스
produce,생산하다
product,제품
production,생산
professional,전문적인
professor,교수
program,프로그램
project,프로젝트
property,재산
protect,보호하다
prove,입증하다
provide,제공하다
public,공공의
pull,당기다
purpose,목적
push,푸시
put,놓다
quality,품질
question,질문
quickly,빠르게
quite,상당히
race,경주
radio,라디오
raise,들어올리다
range,범위
rate,비율
rather,꽤
reach,도달하다
read,읽다
ready,준비가 된
real,진짜
reality,현실
realize,깨닫다
really,정말
reason,이유
receive,받다
recent,최근의
recently,최근에
recognize,인정하다
record,기록
red,빨간색
reduce,줄이다
reflect,반영하다
region,지역
relate,말하다
relationship,관계
religious,종교의
remain,유지하다
remember,기억하다
remove,제거하다
report,보고서
represent,대표하다
Republican,공화주의자
require,필요하다
research,연구
resource,자원
respond,대답하다
response,응답
responsibility,책임
rest,나머지
result,결과
return,반품
reveal,드러내다
rich,부자
right,오른쪽
rise,증가
risk,위험
road,도로
rock,바위
role,역할
room,방
rule,규칙
run,달리다
safe,안전한
same,같은
save,구하다
say,말하다
scene,장면
school,학교
science,과학
scientist,과학자
score,점수
sea,바다
season,계절
seat,좌석
second,두번째
section,부분
security,보안
see,보다
seek,구하다
seem,~인 것 같다
sell,팔다
send,보내다
senior,상위
sense,감각
series,시리즈
serious,심각한
serve,제공하다
service,서비스
set,세트
seven,일곱
several,여러 개의
sex,섹스
sexual,성적
shake,떨림
share,공유하다
she,그녀
shoot,사격
short,짧은
shot,발사
should,~해야 한다
shoulder,어깨
show,보여주다
side,옆
sign,징후
significant,중요한
similar,비슷한
simple,단순한
simply,간단히
since,~부터
sing,노래하다
single,하나의
sister,자매
sit,앉다
site,대지
situation,상황
six,육
size,크기
skill,기술
skin,피부
small,작은
smile,웃다
so,그래서
social,사회의
society,사회
soldier,군인
some,일부
somebody,어떤 사람
someone,누구
something,무엇
sometimes,때때로
son,아들
song,노래
soon,곧
sort,종류
sound,소리
source,원천
south,남쪽
southern,남부 지방 사투리
space,공간
speak,말하다
special,특별한
specific,특정한
speech,연설
spend,경비
sport,스포츠
spring,봄
staff,직원
stage,단계
stand,서다
standard,기준
star,별
start,시작
state,상태
statement,성명
station,역
stay,머무르다
step,단계
still,아직
stock,재고
stop,멈추다
store,가게
story,이야기
strategy,전략
street,거리
strong,강한
structure,구조
student,학생
study,공부하다
stuff,물건
style,스타일
subject,주제
success,성공
successful,성공적인
such,그런
suddenly,갑자기
suffer,시달리다
suggest,제안하다
summer,여름
support,지원하다
sure,확신하는
surface,표면
system,체계
table,테이블
take,가져가다
talk,말하다
task,일
tax,세
teach,가르치다
teacher,선생님
team,팀
technology,기술
television,텔레비전
tell,말하다
ten,십
tend,추세
term,용어
test,시험
than,~보다
thank,감사하다
that,저것
the,그만큼
their,그들의
them,그들을
themselves,그들 자신
then,그 다음에
theory,이론
there,거기
these,이것들
they,그들
thing,물건
think,생각하다
third,제삼
this,이것
those,저것들
though,그렇지만
thought,생각
thousand,천
threat,위협
three,삼
through,~을 통해
throughout,~ 내내
throw,던지다
thus,따라서
time,시간
to,에게
today,오늘
together,함께
tonight,오늘 밤
too,~도
top,맨 위
total,총
tough,힘든
toward,~ 을 향하여
town,도시
trade,거래
traditional,전통적인
training,훈련
travel,여행하다
treat,대하다
treatment,치료
tree,나무
trial,재판
trip,여행
trouble,문제
TRUE,진실
truth,진실
try,노력하다
turn,회전하다
TV,TV
two,둘
type,유형
under,아래에
understand,이해하다
unit,단위
until,~까지
up,위로
upon,...에
us,우리를
use,사용
usually,대개
value,값
various,다양한
very,매우
victim,피해자
view,보다
violence,폭행
visit,방문하다
voice,목소리
vote,투표
wait,기다리다
walk,걷다
wall,벽
want,원하다
war,전쟁
watch,보다
water,물
way,방법
we,우리
weapon,무기
wear,입다
week,주
weight,무게
well,잘
west,서쪽
western,서부 사람
what,무엇
whatever,무엇이든
when,언제
where,어디
whether,~이든
which,어느
while,~하는 동안
white,하얀색
who,WHO
whole,전체
whom,누구
whose,누구의
why,왜
wide,넓은
wife,부인
will,~ 할 것이다
win,이기다
wind,바람
window,창문
wish,소망
with,~와 함께
within,이내에
without,없이
woman,여성
wonder,궁금하다
word,단어
work,일하다
worker,노동자
world,세계
worry,걱정하다
would,~일 것이다
write,쓰다
writer,작가
wrong,잘못된
yard,마당
yeah,응
year,년도
yes,예
yet,아직
you,너
young,어린
your,당신의
yourself,당신 자신